Time (s) Run #1,Geiger Counts (counts/sample) Run #1,Geiger Counts (counts/sample) Run #2,Geiger Counts (counts/sample) Run #3
65.4,1,0,2
65.6,4,5,5
65.8,0,3,7
66,4,1,6
66.2,4,3,3
66.4,4,1,4
66.6,2,5,2
66.8,3,4,7
67,4,6,3
67.2,0,4,3
67.4,3,6,1
67.6,6,2,3
67.8,3,2,5
68,3,1,4
68.2,4,5,5
68.4,4,7,3
68.6,2,1,2
68.8,2,1,5
69,4,2,7
69.2,6,4,5
69.4,1,4,5
69.6,5,4,4
69.8,6,6,7
70,7,2,4
70.2,8,2,1
70.4,6,3,6
70.6,4,3,3
70.8,2,1,2
71,6,7,0
71.2,2,3,4
71.4,1,5,3
71.6,3,3,9
71.8,3,4,1
72,4,2,6
72.2,1,3,5
72.4,5,3,3
72.6,2,4,6
72.8,3,4,6
73,3,0,1
73.2,6,2,3
73.4,2,2,1
73.6,2,7,2
73.8,1,5,4
74,2,4,4
74.2,2,4,5
74.4,3,5,4
74.6,3,2,2
74.8,6,1,3
75,2,7,2
75.2,2,2,4
75.4,2,0,7
75.6,3,2,7
75.8,4,3,9
76,2,4,5
76.2,1,5,2
76.4,3,4,0
76.6,3,4,3
76.8,4,1,2
77,5,1,5
77.2,5,2,3
77.4,3,2,3
77.6,2,0,3
77.8,5,1,5
78,3,3,6
78.2,2,4,5
78.4,4,4,8
78.6,2,3,9
78.8,2,4,4
79,0,3,0
79.2,1,3,2
79.4,2,2,4
79.6,4,6,2
79.8,5,5,4
80,6,8,5
80.2,4,0,2
80.4,3,3,2
80.6,4,3,3
80.8,2,4,5
81,3,5,5
81.2,3,4,1
81.4,3,2,3
81.6,0,2,3
81.8,0,3,6
82,4,4,5
82.2,5,5,7
82.4,4,6,4
82.6,1,3,2
82.8,2,4,4
83,1,3,7
83.2,1,3,1
83.4,6,7,7
83.6,4,6,6
83.8,3,3,3
84,6,2,2
84.2,4,5,4
84.4,3,3,0
84.6,3,4,5
84.8,2,5,1
85,4,2,4
85.2,2,3,2
85.4,3,3,3
85.6,7,2,3
85.8,6,4,2
86,2,5,3
86.2,5,4,2
86.4,1,0,6
86.6,2,4,2
86.8,3,0,3
87,2,5,2
87.2,2,1,5
87.4,0,3,5
87.6,1,3,1
87.8,2,4,5
88,5,2,1
88.2,2,4,3
88.4,2,2,2
88.6,1,2,1
88.8,5,4,3
89,3,5,3
89.2,2,1,4
89.4,5,5,2
89.6,3,2,5
89.8,3,2,8
90,2,6,1
90.2,4,6,2
90.4,2,7,1
90.6,1,5,1
90.8,5,3,3
91,4,2,0
91.2,0,3,1
91.4,4,3,5
91.6,2,8,2
91.8,6,1,1
92,3,1,3
92.2,4,3,5
92.4,3,5,8
92.6,0,5,5
92.8,1,2,4
93,7,3,6
93.2,2,3,7
93.4,4,2,2
93.6,1,5,2
93.8,1,2,3
94,5,5,3
94.2,5,5,3
94.4,2,5,2
94.6,3,5,2
94.8,3,4,4
95,8,4,3
95.2,7,5,2
95.4,2,2,5
95.6,1,2,1
95.8,2,4,2
96,6,5,3
96.2,7,4,0
96.4,5,2,4
96.6,4,6,6
96.8,3,3,5
97,3,2,7
97.2,3,2,5
97.4,4,6,4
97.6,5,3,6
97.8,3,6,0
98,3,2,2
98.2,5,5,4
98.4,9,2,2
98.6,3,2,6
98.8,2,5,2
99,0,4,4
99.2,2,5,4
99.4,2,2,0
99.6,2,1,3
99.8,1,4,6
100,3,4,3
100.2,1,8,7
100.4,4,0,1
100.6,1,5,3
100.8,0,3,3
101,0,1,4
101.2,5,4,4
101.4,2,1,1
101.6,4,1,2
101.8,3,1,2
102,5,7,3
102.2,6,0,4
102.4,3,3,1
102.6,4,5,4
102.8,5,5,7
103,2,3,3
103.2,4,4,2
103.4,5,4,4
103.6,4,2,2
103.8,2,3,2
104,3,5,7
104.2,2,3,1
104.4,5,2,6
104.6,2,2,3
104.8,0,3,4
105,1,2,5
105.2,2,3,1
105.4,4,3,3
105.6,2,4,3
105.8,3,3,4
106,0,2,2
106.2,4,3,1
106.4,4,2,2
106.6,3,3,3
106.8,3,1,3
107,4,3,2
107.2,7,2,5
107.4,5,3,5
107.6,5,3,2
