Time (s) Run #1,Geiger Counts (counts/sample) Run #1,Geiger Counts (counts/sample) Run #2,Geiger Counts (counts/sample) Run #3
283.4,3,3,7
283.6,5,2,4
283.8,3,0,3
284,4,3,5
284.2,5,3,4
284.4,3,3,3
284.6,1,2,5
284.8,9,2,4
285,2,3,6
285.2,3,3,5
285.4,4,3,3
285.6,7,6,5
285.8,6,5,3
286,3,3,2
286.2,2,4,5
286.4,6,4,4
286.6,3,2,5
286.8,6,3,5
287,0,4,3
287.2,2,1,8
287.4,1,6,3
287.6,4,4,4
287.8,3,2,2
288,2,3,4
288.2,4,1,4
288.4,2,3,5
288.6,0,1,1
288.8,6,4,6
289,5,4,3
289.2,2,3,6
289.4,1,2,1
289.6,6,2,7
289.8,4,4,3
290,3,4,4
290.2,3,4,5
290.4,5,5,9
290.6,3,3,2
290.8,4,2,4
291,3,4,2
291.2,4,5,2
291.4,2,2,5
291.6,1,1,2
291.8,1,5,2
292,5,2,1
292.2,3,1,5
292.4,1,2,4
292.6,6,3,3
292.8,5,8,1
293,1,4,1
293.2,2,4,3
293.4,5,1,3
293.6,1,2,7
293.8,4,3,2
294,6,6,4
294.2,3,4,3
294.4,4,3,4
294.6,3,1,2
294.8,5,3,4
295,3,5,3
295.2,4,3,5
295.4,2,2,2
295.6,1,5,2
295.8,3,4,1
296,4,4,3
296.2,3,2,0
296.4,4,6,2
296.6,2,3,6
296.8,3,2,2
297,2,1,3
297.2,3,6,3
297.4,4,4,5
297.6,2,3,5
297.8,1,1,4
298,5,1,5
298.2,2,2,2
298.4,1,5,2
298.6,2,4,5
298.8,5,4,2
299,2,5,4
299.2,2,3,2
299.4,5,2,3
299.6,6,2,5
299.8,5,3,4
300,2,3,4
