Time (s) Run #7,Geiger Counts (counts/sample) Run #7,Geiger Counts (counts/sample) Run #8,Geiger Counts (counts/sample) Run #9,Geiger Counts (counts/sample) Run #10,Geiger Counts (counts/sample) Run #11,Geiger Counts (counts/sample) Run #12,Geiger Counts (counts/sample) Run #13,Geiger Counts (counts/sample) Run #14,Geiger Counts (counts/sample) Run #15,Geiger Counts (counts/sample) Run #16,Geiger Counts (counts/sample) Run #17,Geiger Counts (counts/sample) Run #18,Geiger Counts (counts/sample) Run #19,Geiger Counts (counts/sample) Run #20,Geiger Counts (counts/sample) Run #21,Geiger Counts (counts/sample) Run #22,Geiger Counts (counts/sample) Run #23,Geiger Counts (counts/sample) Run #24,Geiger Counts (counts/sample) Run #25,Geiger Counts (counts/sample) Run #26
27.6,1,1,2,0,0,1,1,0,3,2,2,1,3,1,3,2,2,0,3,1
27.7,1,3,3,2,0,4,1,0,2,1,1,1,1,2,2,1,0,1,1,3
27.8,1,4,0,4,1,1,0,1,1,1,1,0,1,4,0,1,2,3,1,0
27.9,1,1,2,2,1,1,0,1,0,2,3,3,0,3,2,2,0,1,1,1
28,2,0,3,1,2,1,2,2,1,3,0,3,1,0,4,1,2,2,1,2
28.1,1,1,3,2,2,2,1,0,1,2,2,1,2,3,2,2,2,2,2,1
28.2,1,1,3,0,0,2,0,2,2,0,4,2,2,2,2,1,1,3,2,2
28.3,3,1,2,1,1,1,3,2,1,0,5,2,2,2,0,3,2,3,1,3
28.4,1,2,2,3,0,2,2,0,0,1,0,2,1,2,1,1,0,4,2,3
28.5,0,0,5,3,2,2,1,0,2,0,1,1,1,1,4,2,1,0,1,0
28.6,1,0,2,2,1,0,3,1,1,1,1,1,3,1,1,2,3,1,4,2
28.7,0,2,0,6,2,0,1,3,1,1,1,0,1,2,0,1,4,2,1,2
28.8,1,5,0,2,1,1,0,4,1,0,1,1,0,3,1,0,1,4,0,0
28.9,1,2,3,1,0,0,2,2,1,3,2,2,0,4,0,1,3,0,0,2
29,3,2,2,2,0,2,3,0,0,1,0,1,0,2,2,3,1,1,4,0
29.1,3,4,3,4,1,0,3,0,3,2,2,1,2,2,3,1,3,1,4,1
29.2,0,3,0,2,3,0,0,2,2,3,1,3,0,0,0,1,2,0,2,3
29.3,0,1,0,1,2,1,1,2,1,0,2,5,0,2,1,3,2,4,2,1
29.4,0,1,0,1,2,2,4,1,3,1,3,0,0,1,3,3,0,1,2,4
29.5,1,3,0,1,1,4,0,2,2,3,1,1,3,3,4,1,1,1,2,1
29.6,5,0,1,2,1,1,2,2,1,3,2,4,0,1,1,1,1,5,2,3
29.7,2,3,3,1,1,3,2,1,3,3,0,2,0,0,0,1,1,1,3,1
29.8,0,0,0,1,1,1,0,3,4,1,3,1,2,1,2,1,1,0,1,1
29.9,1,1,2,2,1,1,1,1,3,0,0,0,1,2,1,1,0,1,1,5
30,1,0,1,3,1,1,4,4,1,1,1,0,3,1,3,2,1,2,2,1
30.1,0,7,1,4,4,1,3,2,2,3,0,2,3,2,3,1,2,1,1,2
30.2,3,1,1,3,0,3,1,4,1,2,1,4,0,1,5,2,2,1,0,0
30.3,2,3,1,2,2,1,2,1,0,2,1,4,1,0,1,2,1,1,1,3
30.4,0,2,3,2,3,3,2,3,4,2,3,2,2,1,1,3,1,3,1,2
30.5,1,2,0,2,3,3,1,2,2,3,2,2,2,1,1,2,0,2,1,0
30.6,1,1,4,2,1,5,2,1,2,0,2,2,2,0,0,3,3,2,2,1
30.7,0,1,4,2,0,0,2,1,3,0,0,2,0,1,3,1,2,4,0,1
30.8,2,0,2,0,1,1,0,4,1,0,1,4,1,0,0,4,1,0,4,1
30.9,2,2,0,1,1,2,0,2,2,2,1,3,2,1,5,1,1,2,2,1
31,3,1,3,1,0,3,1,0,1,2,3,2,3,1,1,1,0,4,2,0
31.1,2,4,1,1,3,1,0,2,2,1,1,1,1,1,1,0,0,1,1,0
31.2,0,3,0,1,2,0,0,1,1,3,1,0,1,0,2,3,1,1,0,1
31.3,1,1,1,3,1,3,2,2,0,1,2,4,1,1,4,1,2,2,1,2
31.4,2,3,1,2,0,2,1,2,2,1,1,0,0,1,3,0,3,0,1,2
31.5,1,1,1,3,2,2,0,2,1,0,2,2,1,1,1,2,1,1,1,1
31.6,0,3,0,2,2,0,3,0,1,1,1,1,1,0,3,1,1,1,1,1
31.7,1,4,2,0,1,1,2,2,2,2,1,0,2,1,2,1,0,4,3,2
31.8,1,0,1,1,0,5,1,3,2,2,1,1,2,1,1,1,0,2,1,1
31.9,0,5,0,4,3,3,2,3,5,0,2,0,0,1,3,1,0,0,0,0
32,1,3,1,3,1,4,1,2,3,0,0,4,0,1,2,0,1,2,2,0
32.1,3,2,0,3,1,2,2,2,2,1,4,1,1,1,3,3,2,2,2,2
32.2,1,0,0,0,2,2,0,1,2,2,1,4,3,1,2,0,1,0,0,0
32.3,0,2,2,1,1,3,2,0,2,2,1,1,1,1,1,2,2,2,1,0
32.4,0,2,2,3,1,0,0,0,2,0,1,1,1,1,1,1,2,3,1,2
32.5,1,2,2,0,0,2,2,2,4,1,2,1,2,0,1,1,0,1,3,4
32.6,2,1,4,1,2,1,4,2,0,1,2,2,3,1,2,5,1,3,1,3
32.7,2,2,2,1,1,4,2,1,3,1,3,1,2,2,1,1,2,2,0,1
32.8,2,1,0,3,1,2,5,1,1,3,0,2,3,1,3,1,4,2,4,0
32.9,1,1,1,0,0,0,1,2,3,0,1,3,0,2,1,0,3,3,2,2
33,2,3,1,4,3,1,1,3,2,1,1,2,1,0,4,0,1,2,2,1
33.1,0,0,1,1,4,2,0,1,1,0,0,1,2,1,2,3,1,1,1,0
33.2,4,3,0,2,2,5,5,1,1,4,2,1,3,3,1,2,2,1,3,3
33.3,2,1,0,2,4,1,4,1,2,2,4,1,1,0,1,5,3,2,4,2
33.4,2,1,4,2,2,1,3,0,2,2,2,3,1,0,2,0,1,3,3,0
33.5,2,0,4,4,3,0,4,2,0,3,4,0,1,0,2,0,0,0,0,0
33.6,3,2,3,2,2,0,2,1,0,0,1,3,1,1,2,2,3,3,0,1
33.7,1,3,4,1,2,0,1,1,0,0,2,0,1,0,1,1,4,0,3,1
33.8,0,1,1,3,2,3,1,1,0,1,1,0,2,0,4,2,3,1,0,1
33.9,0,2,2,1,1,0,2,0,1,2,3,1,1,1,0,3,1,2,2,1
34,2,0,0,1,0,0,2,0,0,3,3,4,1,2,2,1,0,0,1,2
34.1,1,3,1,0,1,0,2,2,3,2,0,1,1,0,0,1,1,4,2,0
34.2,2,3,4,3,1,1,2,4,3,2,2,2,4,0,4,0,0,2,3,3
34.3,2,0,2,1,0,2,4,1,3,2,0,0,2,2,0,4,1,1,1,4
34.4,1,4,1,2,2,2,2,2,2,3,0,0,2,1,4,0,4,6,1,0
34.5,3,1,2,0,1,1,0,3,0,2,2,2,2,2,5,1,2,1,1,0
34.6,1,3,1,3,4,2,1,0,0,0,3,0,1,1,3,2,4,0,5,1
34.7,0,1,4,3,1,0,3,1,0,3,1,0,1,0,2,2,1,3,1,1
34.8,0,0,1,1,0,3,1,4,4,2,1,1,1,1,0,2,0,2,0,1
34.9,3,5,2,3,0,2,1,0,3,1,0,1,2,1,1,2,0,0,0,3
35,2,4,1,0,2,1,3,3,1,1,6,2,2,1,5,0,0,1,3,3
35.1,2,1,2,2,2,5,2,6,1,2,2,1,0,2,0,2,0,1,2,2
35.2,5,0,2,1,0,1,2,3,1,1,0,1,2,4,4,2,0,1,2,0
35.3,2,1,3,2,0,3,3,1,1,2,2,2,3,1,1,3,0,1,2,1
35.4,4,1,0,3,1,1,2,0,2,3,1,0,1,2,3,5,2,3,3,2
35.5,0,0,0,1,3,2,3,4,2,1,2,3,0,0,1,2,3,0,2,4
35.6,4,2,0,2,0,3,1,1,1,1,2,0,3,3,1,3,1,1,1,1
35.7,0,2,1,3,1,2,2,5,2,1,3,3,3,1,1,0,2,4,6,0
35.8,1,2,1,0,2,5,3,2,0,1,0,3,2,0,1,1,0,1,0,1
35.9,4,2,2,0,2,0,0,1,1,3,2,0,3,0,2,0,5,0,1,0
36,2,3,1,2,1,2,1,3,0,5,2,2,5,0,1,2,1,0,3,1
36.1,4,3,1,1,1,3,2,1,2,1,2,3,3,0,3,1,2,1,0,2
36.2,0,2,1,1,0,2,1,3,3,0,2,1,1,0,3,3,2,0,2,0
36.3,1,1,1,1,2,0,0,2,3,2,3,0,3,2,2,0,0,1,3,0
36.4,1,0,1,2,4,0,0,2,1,0,0,0,3,0,2,1,1,2,1,0
36.5,2,1,1,2,1,0,3,4,1,6,1,1,2,1,1,1,0,4,4,0
36.6,1,1,4,0,0,2,2,0,2,1,1,2,2,3,3,1,1,0,1,3
36.7,2,1,1,4,3,1,2,2,2,2,1,2,1,0,1,0,2,0,1,2
36.8,2,1,1,1,2,1,2,0,0,0,4,3,2,1,3,3,3,1,0,4
36.9,3,2,1,2,2,1,1,1,3,2,1,0,1,1,2,2,0,0,3,3
37,1,1,3,1,2,0,1,1,2,1,1,0,1,2,1,1,1,3,1,1
37.1,1,1,1,0,1,7,2,2,1,2,0,2,0,0,2,1,2,0,2,0
37.2,2,4,3,0,1,1,3,3,0,1,2,1,2,1,0,3,1,3,1,1
37.3,1,3,2,3,2,2,2,1,2,2,2,2,3,0,3,0,2,1,2,0
37.4,1,1,2,1,5,1,2,0,1,4,2,3,2,0,1,0,0,2,1,2
37.5,2,1,1,2,1,1,2,3,0,2,2,2,1,0,2,3,2,0,1,1
37.6,3,0,2,1,5,1,1,0,2,4,3,2,2,0,3,3,1,2,1,2
37.7,1,3,1,2,2,1,1,0,2,1,1,7,1,2,3,1,2,2,3,2
37.8,0,0,2,4,2,5,2,1,2,5,1,1,1,2,1,0,0,0,2,3
37.9,0,4,2,0,0,3,0,4,0,0,4,0,1,1,1,1,1,4,2,3
38,0,1,2,2,0,3,1,1,0,1,1,2,4,0,2,1,0,1,1,0
38.1,1,1,1,1,2,1,0,4,2,3,1,0,2,1,1,1,0,0,1,0
38.2,1,3,1,0,0,2,5,2,1,2,1,3,2,0,1,4,1,2,0,1
38.3,0,0,2,0,3,2,0,5,3,1,1,1,0,0,3,1,2,2,1,1
38.4,2,1,3,3,3,2,1,0,0,1,2,2,0,1,0,1,3,1,1,5
38.5,1,2,0,0,4,2,1,4,0,1,3,0,2,0,2,1,5,2,0,2
38.6,5,2,1,1,2,3,0,2,4,0,1,3,2,2,1,3,1,2,2,2
38.7,0,0,1,2,0,1,1,0,2,0,0,1,0,2,4,0,0,0,0,3
38.8,1,2,1,2,2,2,2,5,2,3,2,3,1,1,2,1,0,3,1,0
38.9,4,3,2,3,0,3,2,2,3,0,0,0,1,1,2,1,1,4,2,1
39,1,2,1,2,3,2,0,0,4,1,0,1,1,1,3,3,1,0,0,2
39.1,1,1,4,2,0,2,1,0,1,1,3,5,3,1,2,1,3,3,2,1
39.2,1,1,3,2,0,1,2,1,1,1,0,1,0,1,2,3,2,1,5,2
39.3,0,2,0,1,5,4,0,0,1,1,0,1,2,1,2,1,0,1,3,2
39.4,1,3,3,2,0,2,1,3,0,0,1,3,3,2,2,1,0,0,2,2
39.5,5,1,0,2,0,2,1,0,3,0,0,1,3,0,3,0,1,3,1,0
39.6,2,0,0,3,2,1,1,1,3,1,1,2,2,0,3,3,1,1,1,4
39.7,0,1,2,1,4,1,3,3,1,3,2,0,2,2,2,6,1,1,1,3
39.8,1,2,3,2,2,3,1,3,1,3,1,1,1,1,1,1,1,3,0,1
39.9,3,0,1,1,4,1,2,2,0,1,0,0,3,1,0,0,1,2,0,0
40,0,1,1,3,1,0,1,1,1,3,0,2,2,1,3,0,3,4,2,3
40.1,3,3,1,1,2,3,4,3,2,2,1,2,0,0,3,3,1,1,3,1
40.2,3,0,2,2,3,1,0,1,0,2,1,3,0,0,2,0,2,0,4,1
40.3,0,1,2,4,1,0,2,1,4,0,0,0,0,1,1,2,0,2,2,1
40.4,3,1,1,3,1,0,0,0,2,0,2,3,3,0,0,0,4,1,3,7
40.5,1,0,0,0,3,2,0,1,1,2,4,0,0,4,2,1,2,3,1,3
40.6,3,1,1,0,1,1,1,2,2,0,1,4,0,1,1,3,0,1,2,0
40.7,2,1,3,3,1,4,2,0,3,0,1,1,1,1,1,2,1,1,1,2
40.8,1,1,1,4,2,0,1,0,0,0,2,1,3,2,2,0,2,0,3,0
40.9,1,1,2,1,1,2,0,0,2,2,2,3,1,0,2,5,2,1,2,2
41,2,0,1,1,2,1,3,3,2,2,2,1,0,4,3,0,2,4,2,2
41.1,2,0,2,1,0,2,1,1,1,3,0,0,0,0,0,0,2,1,1,1
41.2,2,1,1,1,2,1,0,0,2,0,2,0,2,2,2,1,2,4,0,4
41.3,3,1,1,3,2,2,0,1,0,3,1,1,1,4,2,3,2,0,4,0
41.4,2,2,4,1,1,1,1,4,1,2,3,2,0,2,0,1,1,0,8,0
41.5,1,2,4,0,2,4,1,1,2,4,1,1,0,3,1,5,2,0,1,2
41.6,1,0,0,2,0,3,0,3,1,3,0,1,3,1,2,1,3,3,2,1
41.7,2,4,0,4,1,3,3,0,1,2,4,3,0,1,0,0,1,2,0,3
41.8,2,2,0,1,3,0,3,2,4,0,0,1,0,0,1,2,2,3,0,1
41.9,2,1,1,2,2,1,3,1,3,3,3,1,3,1,3,3,2,0,0,0
42,2,2,4,1,2,3,1,3,2,2,0,0,4,1,0,3,0,2,3,1
42.1,4,0,2,2,2,1,2,1,2,1,4,0,1,1,2,3,1,0,3,0
42.2,2,2,1,1,3,2,1,3,0,4,0,3,2,2,1,1,3,1,1,3
42.3,1,1,5,3,1,2,2,0,0,0,2,1,2,3,5,2,2,0,2,2
42.4,3,3,1,2,1,0,2,2,2,1,0,1,1,2,1,1,1,1,1,2
42.5,1,2,1,1,1,1,3,3,0,4,0,2,0,1,1,0,3,1,4,0
42.6,4,1,1,2,2,1,4,2,3,2,3,1,1,1,0,3,3,5,0,0
42.7,2,0,1,1,0,3,1,3,3,3,0,1,0,2,2,2,2,2,1,0
42.8,2,0,2,1,1,4,0,1,5,1,1,0,1,0,1,0,3,6,1,4
42.9,2,2,0,0,1,1,2,2,1,2,2,0,1,1,2,0,2,3,2,0
43,0,2,0,2,0,1,4,4,2,1,3,3,2,2,0,2,0,1,1,2
43.1,2,4,2,0,1,1,0,1,1,3,1,0,0,2,3,2,2,2,0,2
43.2,2,1,3,0,0,0,1,0,3,1,3,3,2,2,3,0,3,1,1,1
43.3,2,4,1,3,1,0,2,1,2,0,1,3,1,2,2,1,2,1,1,1
43.4,0,2,1,1,1,0,0,2,1,0,0,3,0,2,7,1,4,1,1,2
43.5,1,2,1,0,3,4,0,4,1,5,1,3,2,0,3,1,1,2,0,1
43.6,1,1,3,1,1,1,2,3,4,0,4,1,0,2,3,0,3,1,1,3
43.7,2,2,1,1,2,1,0,0,0,1,1,1,3,0,2,0,1,1,1,0
43.8,2,1,4,2,1,2,2,1,1,1,4,2,2,1,1,1,4,1,0,0
43.9,1,0,0,0,0,0,3,2,2,0,2,2,3,0,3,1,1,4,1,1
44,4,2,2,2,4,1,0,0,2,0,2,3,0,1,1,0,1,0,1,2
44.1,2,0,0,1,1,4,0,1,1,0,0,0,3,2,3,4,1,0,2,0
44.2,5,2,2,0,1,3,3,2,1,4,2,3,1,0,3,0,1,4,1,4
44.3,1,1,2,2,1,1,0,3,1,1,1,0,1,1,5,1,3,1,1,1
44.4,0,1,3,2,2,3,4,3,0,2,0,4,3,0,4,1,3,1,1,2
44.5,1,1,0,1,1,1,1,0,2,1,1,2,1,0,1,0,1,1,1,0
44.6,2,0,0,1,0,1,1,2,3,3,2,0,2,0,2,4,1,1,1,3
44.7,1,1,1,2,2,3,2,2,0,0,0,3,1,2,2,1,2,3,4,0
44.8,1,5,0,3,0,0,0,0,1,1,1,3,3,1,1,0,0,2,1,0
44.9,2,2,0,3,1,1,2,1,2,2,3,0,3,1,3,0,1,4,1,1
45,3,4,2,2,1,1,1,3,0,2,2,0,2,2,0,3,1,1,1,2
45.1,3,0,2,3,1,2,3,0,1,1,1,0,1,1,0,1,1,1,1,1
45.2,3,2,2,1,2,1,3,0,4,2,3,3,1,1,0,1,1,2,1,1
45.3,2,0,1,0,3,2,1,0,0,2,1,1,0,3,2,2,3,1,3,2
45.4,0,4,3,0,2,0,1,2,3,2,3,5,1,0,1,2,4,0,2,6
45.5,2,1,6,2,1,3,3,0,0,3,2,0,2,0,3,2,1,2,3,1
45.6,2,0,4,1,2,1,0,1,1,1,0,0,5,1,2,1,2,3,3,3
45.7,0,2,2,3,0,1,3,2,2,1,3,1,4,1,3,5,2,1,1,2
45.8,0,3,1,0,2,1,0,4,0,1,4,2,0,2,3,5,1,1,3,1
45.9,3,1,1,4,1,4,1,2,0,4,3,0,1,2,1,3,1,2,2,3
46,4,3,3,1,0,6,3,2,0,0,1,2,0,1,2,1,1,1,3,3
46.1,4,2,1,3,1,2,1,2,3,2,1,2,1,0,0,2,0,1,0,4
46.2,0,1,3,1,0,1,0,1,1,2,1,1,1,0,0,1,3,1,1,2
46.3,2,2,2,2,3,2,1,0,1,2,2,1,3,1,1,3,1,3,4,1
46.4,3,1,2,0,0,1,2,1,0,2,1,2,2,1,2,1,1,2,1,2
46.5,1,0,2,1,0,1,1,4,0,5,0,0,3,1,0,2,4,3,1,3
46.6,2,1,2,1,2,4,1,0,1,1,4,4,2,1,2,1,0,1,1,0
46.7,1,1,2,4,2,2,2,1,1,1,2,0,2,0,3,3,1,0,4,6
46.8,2,3,0,1,0,3,3,2,2,0,2,2,1,1,1,4,4,2,2,2
46.9,1,1,2,1,2,1,1,5,3,3,1,2,2,2,1,1,1,3,0,0
47,0,1,1,0,1,2,2,1,1,1,2,1,1,1,2,2,3,4,0,0
47.1,1,2,1,0,0,2,2,1,3,3,2,1,1,1,1,1,0,2,2,1
47.2,3,2,2,1,2,1,5,1,3,1,1,1,2,2,1,2,0,1,1,4
47.3,1,2,3,2,1,0,0,0,1,0,1,3,0,3,1,0,0,0,3,1
47.4,0,1,2,0,1,0,0,2,1,2,0,1,2,2,0,1,2,1,2,4
47.5,1,0,0,4,2,3,4,0,1,3,1,0,3,3,1,3,3,1,3,2
47.6,0,2,3,1,1,1,1,0,3,2,0,1,2,2,3,0,2,0,1,1
47.7,0,2,1,2,2,4,1,1,3,1,2,3,4,0,2,5,0,2,1,1
47.8,2,2,2,2,2,3,0,0,1,0,2,0,1,0,2,2,2,1,1,2
47.9,0,2,2,2,1,4,1,1,0,1,1,0,0,2,2,1,2,1,0,3
48,1,0,4,1,2,2,1,1,2,2,1,4,3,1,1,2,1,2,1,0
48.1,3,4,1,1,1,2,1,4,3,1,1,2,2,1,3,2,2,1,1,0
48.2,2,1,3,1,1,1,0,1,5,0,2,2,2,2,2,1,0,2,3,1
48.3,2,1,2,2,2,2,3,2,1,1,2,0,2,1,3,0,0,4,0,0
48.4,1,0,2,2,5,1,2,0,0,0,3,1,4,1,1,1,3,1,2,1
48.5,3,2,2,4,2,0,1,3,1,2,2,1,0,0,2,3,0,3,3,4
48.6,0,2,5,0,1,1,0,2,2,3,0,0,0,0,1,0,2,3,2,1
48.7,1,1,1,1,1,3,1,1,4,1,1,3,2,0,2,0,3,0,2,1
48.8,0,2,1,1,2,2,1,2,1,1,1,0,3,2,2,3,1,6,2,1
48.9,1,2,2,2,3,2,0,1,3,2,1,2,0,1,0,2,1,1,1,0
49,4,2,2,1,1,2,2,1,0,1,2,0,1,1,1,0,1,1,3,1
49.1,3,0,2,0,0,3,1,0,5,0,2,1,1,0,0,2,0,0,1,2
49.2,4,2,5,0,2,2,1,0,2,3,0,0,0,3,4,3,1,2,3,1
49.3,2,1,1,2,2,3,3,3,1,1,3,2,1,2,4,0,1,1,0,0
49.4,3,1,4,3,1,2,4,1,2,2,1,1,3,0,3,1,2,4,1,2
49.5,3,1,2,1,1,2,2,1,2,1,2,3,1,6,3,0,1,1,1,1
49.6,1,2,1,1,0,2,2,1,2,0,1,2,1,5,3,3,1,1,1,2
49.7,1,1,1,3,0,4,2,0,0,1,0,2,0,3,0,1,1,2,3,1
49.8,2,2,0,3,1,0,3,1,3,1,0,3,1,1,2,2,3,1,3,0
49.9,3,4,4,3,3,1,1,2,2,1,3,1,2,2,1,1,1,1,1,0
50,2,2,1,1,4,2,2,1,1,2,0,0,2,1,4,0,4,5,1,3
50.1,2,1,5,1,1,0,3,2,4,0,2,1,0,1,0,3,0,1,3,0
50.2,1,1,3,3,0,2,0,2,1,0,1,2,2,0,2,1,0,2,3,1
50.3,3,3,0,1,1,1,1,3,4,0,0,0,1,1,4,2,6,4,0,2
50.4,1,0,1,2,0,2,4,3,3,0,1,4,1,1,3,1,0,0,1,0
50.5,2,1,2,2,0,2,6,3,4,2,2,3,1,2,1,0,1,1,5,3
50.6,2,1,3,1,1,0,0,3,3,1,1,0,1,2,1,3,0,2,1,3
50.7,2,2,1,4,2,2,0,2,1,0,0,3,2,0,1,2,2,3,1,2
50.8,2,2,1,3,1,0,2,2,2,1,2,2,1,1,3,2,2,1,1,4
50.9,0,2,1,1,2,2,1,0,0,3,1,2,1,1,1,2,3,0,0,2
51,1,1,1,2,0,1,2,1,3,1,1,1,1,1,1,3,1,1,2,1
51.1,1,1,3,2,3,2,1,4,2,3,3,1,1,2,0,3,1,3,3,5
51.2,3,2,0,2,1,3,0,3,1,1,2,0,3,0,7,1,1,1,2,2
51.3,1,0,3,0,2,1,3,2,0,2,1,0,1,3,0,3,0,4,2,2
51.4,0,5,2,3,1,3,2,1,4,5,2,2,0,0,3,4,3,0,1,0
51.5,2,2,1,1,4,2,1,4,2,3,0,1,4,1,3,2,0,2,3,0
51.6,2,1,1,3,2,1,2,3,0,1,1,4,2,0,1,3,3,2,1,1
51.7,2,3,1,1,0,1,1,1,2,1,0,2,1,2,2,1,1,1,2,2
51.8,2,1,3,2,2,1,2,2,1,1,0,0,1,0,3,1,2,5,0,0
51.9,2,0,2,3,3,0,1,1,1,2,2,2,0,2,0,2,1,3,1,3
52,2,0,3,1,1,2,4,3,3,2,1,1,3,0,0,1,1,0,0,0
52.1,2,3,2,2,1,6,2,2,3,1,0,1,0,5,0,2,1,0,2,2
52.2,2,1,1,2,0,2,0,1,0,0,3,3,3,0,0,0,3,1,0,1
52.3,3,2,0,5,0,0,1,2,3,1,0,2,1,0,2,3,1,5,4,1
52.4,2,2,2,2,3,1,2,4,3,2,2,2,1,2,2,2,0,2,1,3
52.5,1,0,3,0,2,3,4,3,2,0,0,1,2,2,1,1,2,2,0,3
52.6,1,1,4,0,4,4,1,2,2,1,0,1,2,3,1,0,0,3,0,1
52.7,0,3,2,1,3,2,1,1,1,3,5,3,0,0,2,1,1,0,3,1
52.8,2,1,2,2,2,1,0,3,2,2,3,3,2,0,1,4,0,2,1,0
52.9,3,0,3,0,1,0,2,1,1,0,2,0,2,2,2,6,2,1,2,0
53,2,0,1,3,1,1,0,2,1,3,2,2,1,1,1,2,1,2,1,0
53.1,1,2,1,0,3,4,2,4,3,3,1,2,0,0,0,2,0,1,0,3
53.2,0,1,1,0,1,0,2,0,1,1,0,2,1,2,1,1,3,3,0,4
53.3,0,1,0,2,1,3,1,2,4,1,2,2,0,1,1,1,2,2,2,2
53.4,2,2,4,1,4,1,1,1,3,2,1,1,2,4,2,4,1,0,2,1
53.5,1,1,0,0,1,2,1,1,2,4,0,2,5,1,3,1,1,1,2,2
53.6,0,1,1,4,4,0,2,1,3,2,0,1,2,0,2,1,1,1,1,1
53.7,2,1,1,2,1,1,2,2,0,0,0,1,3,4,2,1,0,2,2,1
53.8,0,2,2,1,3,1,1,1,2,0,0,1,0,2,1,2,2,0,0,4
53.9,3,3,2,2,4,2,2,3,1,2,1,1,0,2,0,2,0,2,4,1
54,3,1,2,1,1,1,1,1,0,0,1,2,1,5,2,1,3,0,1,5
54.1,2,2,0,5,3,0,2,3,1,0,2,0,5,1,2,3,0,1,1,1
54.2,3,1,1,0,4,2,1,1,2,1,2,1,4,3,0,0,5,2,0,2
54.3,2,5,1,1,1,1,4,1,3,2,1,1,0,3,2,1,2,2,0,1
54.4,0,5,0,3,3,1,3,1,1,3,2,2,1,2,1,1,2,1,0,2
54.5,0,2,2,2,1,0,1,5,3,1,1,1,2,1,3,2,1,0,3,1
54.6,3,1,2,1,1,1,3,3,1,3,1,3,0,1,4,0,7,2,2,2
54.7,1,3,1,0,1,1,2,2,1,3,1,2,1,0,1,1,2,1,3,2
54.8,2,2,3,2,3,4,1,2,0,1,1,2,2,3,2,2,2,1,4,2
54.9,3,3,1,2,0,3,3,2,0,3,2,2,2,1,1,1,1,1,3,1
55,1,1,3,2,1,1,4,1,2,1,0,2,0,2,3,1,5,1,3,2
55.1,3,1,0,0,2,3,2,1,1,1,3,1,1,1,3,1,0,1,3,4
55.2,1,2,1,1,1,3,4,2,0,5,2,0,1,0,1,1,2,5,2,2
55.3,1,1,3,1,1,2,0,3,0,3,3,1,2,0,0,3,2,1,1,2
55.4,1,0,2,1,0,1,0,0,0,2,0,0,5,0,0,1,0,1,0,1
55.5,0,4,2,1,2,2,0,4,1,0,5,1,2,1,1,4,3,0,1,0
55.6,2,1,2,2,1,1,1,0,1,0,0,2,2,0,1,1,2,4,5,1
55.7,2,0,3,3,1,1,1,2,1,1,1,2,4,1,1,2,1,3,1,3
55.8,0,1,1,2,0,2,2,3,1,3,0,2,3,0,2,4,1,1,1,0
55.9,2,4,1,1,4,1,2,2,0,0,0,1,1,2,2,0,2,0,1,3
56,0,1,2,3,3,0,3,2,1,3,1,2,1,1,3,1,0,0,0,3
56.1,1,0,2,2,2,0,3,4,0,3,2,2,1,2,2,2,2,1,0,1
56.2,2,2,0,2,0,1,1,1,0,2,1,4,1,2,1,0,1,0,2,2
56.3,1,4,3,1,2,0,1,1,1,1,1,2,1,3,2,2,0,2,1,5
56.4,1,2,0,2,0,2,2,1,2,1,1,3,1,0,3,6,1,4,3,5
56.5,5,3,0,0,1,1,1,1,2,0,1,1,5,1,3,1,1,2,2,1
56.6,0,1,1,0,1,0,2,3,2,4,0,4,1,1,2,2,2,4,2,0
56.7,0,3,0,1,1,2,1,1,3,3,3,1,0,3,2,2,0,1,1,2
56.8,0,0,2,2,1,4,1,4,1,0,0,1,4,1,2,2,2,0,2,2
56.9,2,2,0,1,1,2,2,2,2,3,2,2,3,1,2,1,0,3,1,6
57,1,2,2,1,2,5,2,0,1,2,3,2,1,2,1,5,2,2,1,0
57.1,2,0,0,4,3,2,2,0,2,5,3,4,3,1,4,2,2,0,0,4
57.2,0,0,1,0,3,0,5,3,3,1,0,4,0,2,1,1,3,1,2,1
57.3,1,2,0,1,2,1,1,0,0,2,3,2,4,2,1,3,0,1,2,1
57.4,2,4,2,4,1,2,4,1,2,0,2,0,2,4,1,1,2,4,1,3
57.5,1,2,3,1,1,0,2,2,0,3,1,0,2,2,0,2,2,3,1,3
57.6,0,4,2,3,0,1,2,0,3,1,1,1,3,2,0,4,1,2,0,2
57.7,1,2,1,3,1,2,1,3,2,3,6,2,0,1,1,1,2,1,3,4
57.8,0,2,1,2,2,4,1,3,0,1,2,2,0,0,4,3,1,0,0,4
57.9,1,1,1,2,3,3,2,4,1,1,2,3,2,3,2,1,1,1,0,1
58,2,0,2,0,3,3,3,2,0,1,2,2,1,2,3,2,1,1,1,2
58.1,2,1,4,3,0,1,0,3,5,2,1,2,4,2,4,1,3,3,1,0
58.2,3,0,0,1,1,2,1,2,4,2,3,1,1,2,1,3,2,1,1,0
58.3,0,2,2,1,3,4,2,1,3,0,0,4,3,0,2,1,4,0,2,0
58.4,0,2,3,2,2,2,1,1,2,0,1,2,1,1,0,2,2,0,1,3
58.5,0,2,2,2,4,2,3,1,1,0,5,3,4,3,0,0,0,2,1,2
