Time (s) Run #7,Geiger Counts (counts/sample) Run #7,Geiger Counts (counts/sample) Run #8,Geiger Counts (counts/sample) Run #9,Geiger Counts (counts/sample) Run #10,Geiger Counts (counts/sample) Run #11,Geiger Counts (counts/sample) Run #12,Geiger Counts (counts/sample) Run #13,Geiger Counts (counts/sample) Run #14,Geiger Counts (counts/sample) Run #15,Geiger Counts (counts/sample) Run #16,Geiger Counts (counts/sample) Run #17,Geiger Counts (counts/sample) Run #18,Geiger Counts (counts/sample) Run #19,Geiger Counts (counts/sample) Run #20,Geiger Counts (counts/sample) Run #21,Geiger Counts (counts/sample) Run #22,Geiger Counts (counts/sample) Run #23,Geiger Counts (counts/sample) Run #24,Geiger Counts (counts/sample) Run #25,Geiger Counts (counts/sample) Run #26
9.9,0,1,1,6,1,0,4,3,1,4,3,1,0,1,4,4,2,2,1,1
10,0,2,1,3,2,0,1,1,2,1,0,1,2,3,3,0,2,2,4,0
10.1,1,2,2,3,3,2,0,1,2,4,6,0,1,1,1,0,1,4,0,3
10.2,2,0,2,2,3,0,0,5,2,1,1,0,1,0,1,2,2,1,4,3
10.3,0,3,2,2,2,4,3,1,1,1,0,1,6,2,0,4,2,2,2,2
10.4,1,2,0,1,1,1,1,2,2,0,0,1,3,0,2,1,1,2,1,4
10.5,0,2,1,2,1,2,4,0,0,1,1,1,4,1,0,0,3,0,1,1
10.6,1,1,1,1,1,2,0,2,2,1,0,3,2,0,1,1,0,1,1,2
10.7,0,3,1,1,2,3,0,0,2,2,2,0,4,2,2,6,2,2,1,0
10.8,0,1,2,1,4,3,0,3,2,2,3,1,0,2,2,2,2,0,2,3
10.9,1,3,2,2,2,0,1,1,2,4,2,3,1,2,2,1,2,1,3,2
11,1,0,2,2,0,2,0,0,1,2,1,2,1,2,0,0,1,2,2,3
11.1,0,1,2,0,1,3,2,2,0,3,2,0,1,2,1,3,0,1,1,4
11.2,2,2,1,1,1,3,3,2,0,3,2,1,1,2,2,2,2,0,1,0
11.3,2,1,3,2,2,2,0,1,1,0,0,0,0,3,0,4,5,2,0,1
11.4,3,3,2,1,2,1,2,0,1,1,2,3,0,1,2,2,0,1,1,2
11.5,0,1,0,0,1,0,1,2,3,1,0,2,4,1,0,2,1,2,2,1
11.6,2,3,2,3,1,2,0,1,1,1,1,1,1,2,1,3,2,2,3,1
11.7,1,2,3,0,0,1,1,1,4,2,0,2,2,1,1,2,1,2,4,0
11.8,1,1,0,3,1,1,1,1,2,2,2,0,1,1,0,1,0,1,0,1
11.9,2,3,2,3,1,2,4,1,3,1,0,4,2,1,2,2,2,3,1,1
12,1,0,1,1,0,2,2,1,0,2,2,4,1,1,1,1,2,1,2,0
12.1,0,2,2,0,2,0,1,1,1,2,1,2,1,0,0,3,1,2,4,2
12.2,2,1,1,1,3,0,1,0,2,1,2,3,3,3,1,1,1,2,1,1
12.3,1,2,3,2,2,1,1,3,3,0,0,0,0,5,2,0,2,1,1,3
12.4,1,4,0,1,1,0,1,1,1,1,2,1,1,1,0,1,1,2,2,5
12.5,1,0,2,1,2,1,2,1,3,0,1,0,3,1,1,0,5,3,2,2
12.6,4,2,1,2,1,0,2,0,3,2,0,1,0,0,1,3,2,1,2,1
12.7,0,1,2,5,2,1,1,1,0,0,6,0,0,2,0,2,1,6,2,2
12.8,5,2,0,0,1,1,1,0,2,2,1,3,0,1,1,3,1,1,0,2
12.9,0,0,2,1,1,1,2,2,2,1,0,1,1,0,2,2,2,0,0,0
13,3,0,2,1,2,0,0,1,2,0,2,1,1,1,3,2,0,3,0,0
13.1,1,0,2,1,2,1,2,1,4,0,2,1,4,3,0,3,0,3,1,0
13.2,2,3,1,1,1,2,1,0,2,1,1,1,3,2,1,4,3,3,3,1
13.3,2,0,0,1,0,3,1,1,1,1,2,1,1,0,2,0,1,2,2,2
13.4,3,3,0,2,3,2,0,4,1,3,0,2,1,1,2,2,3,2,1,4
13.5,2,0,2,2,1,4,1,2,0,3,0,5,5,1,5,1,1,0,1,4
13.6,1,2,3,0,1,2,1,2,2,1,2,2,2,1,2,0,2,0,2,1
