Time,Run 1
114,4
114.2,2
114.4,2
114.6,1
114.8,4
115,1
115.2,1
115.4,3
115.6,0
115.8,1
116,3
116.2,3
116.4,2
116.6,3
116.8,0
117,1
117.2,2
117.4,2
117.6,3
117.8,2
118,3
118.2,2
118.4,1
118.6,2
118.8,0
119,2
119.2,4
119.4,1
119.6,3
119.8,2
120,1
120.2,1
120.4,1
120.6,2
120.8,3
121,2
121.2,0
121.4,2
121.6,3
121.8,0
122,2
122.2,3
122.4,4
122.6,2
122.8,0
123,2
123.2,2
123.4,5
123.6,0
123.8,2
124,0
124.2,0
124.4,1
124.6,2
124.8,2
125,3
125.2,3
125.4,1
125.6,1
125.8,4
126,2
126.2,5
126.4,1
126.6,1
126.8,1
127,5
127.2,2
127.4,0
127.6,0
127.8,0
128,0
128.2,0
128.4,1
128.6,0
128.8,1
129,1
129.2,1
129.4,2
129.6,1
129.8,3
130,1
130.2,5
130.4,1
130.6,0
130.8,3
131,1
131.2,1
131.4,0
131.6,2
131.8,2
132,1
132.2,3
132.4,1
132.6,1
132.8,1
133,1
133.2,2
133.4,1
133.6,5
133.8,1
134,0
134.2,1
134.4,2
134.6,0
134.8,3
135,1
135.2,0
135.4,1
135.6,1
135.8,3
136,3
136.2,3
136.4,2
136.6,2
136.8,0
137,2
137.2,1
137.4,1
137.6,3
137.8,3
138,3
138.2,0
138.4,3
138.6,3
138.8,5
139,1
139.2,1
139.4,3
139.6,3
139.8,6
140,0
140.2,3
140.4,3
140.6,0
140.8,1
141,2
141.2,1
141.4,3
141.6,1
141.8,1
142,2
142.2,0
142.4,2
142.6,4
142.8,2
143,2
143.2,3
143.4,4
143.6,1
143.8,0
144,1
144.2,1
144.4,3
144.6,2
144.8,6
145,3
145.2,1
145.4,0
145.6,3
145.8,2
146,1
146.2,2
146.4,1
146.6,5
146.8,1
147,2
147.2,1
147.4,0
147.6,3
147.8,1
148,6
148.2,3
148.4,1
148.6,1
148.8,3
149,1
149.2,3
149.4,3
149.6,1
149.8,2
150,0
150.2,2
150.4,2
150.6,3
150.8,1
151,0
151.2,0
151.4,1
151.6,0
151.8,3
152,1
152.2,1
152.4,2
152.6,2
152.8,2
153,0
153.2,3
153.4,2
153.6,2
153.8,0
154,2
154.2,2
154.4,2
154.6,0
154.8,3
155,6
155.2,2
155.4,3
155.6,1
155.8,2
156,2
156.2,3
156.4,0
156.6,1
156.8,1
157,3
157.2,1
157.4,0
157.6,3
157.8,1
158,2
158.2,3
158.4,1
158.6,0
158.8,2
159,3
159.2,2
159.4,1
159.6,2
159.8,5
160,4
160.2,4
160.4,2
160.6,2
160.8,2
161,3
161.2,2
161.4,2
161.6,4
161.8,1
162,2
162.2,1
162.4,4
162.6,2
162.8,1
163,4
163.2,2
163.4,0
163.6,0
163.8,2
164,1
164.2,3
164.4,4
164.6,3
164.8,4
165,2
165.2,2
165.4,1
165.6,1
165.8,4
166,1
166.2,2
166.4,0
166.6,2
166.8,5
167,0
167.2,0
167.4,5
167.6,1
167.8,1
168,4
168.2,2
168.4,1
168.6,2
168.8,0
169,4
169.2,3
169.4,2
169.6,0
169.8,2
170,6
170.2,1
170.4,2
170.6,3
